"Bill of Material for "
"On 4/28/2016 at 17:34:27"

"Comment","Pattern","Quantity","Components"

"1325EN1.8U","1325_KT_93","1","D5","Volt reg, Iout=0.8A, Uout=1.8V"
"1325EN3.3U","1325_KT_93","1","D4","Volt reg, Iout=0.8A, Uout=3.3V"
"1564IR33","4153_20_06","1","D14",""
"1564TL2","401_14_5М","1","D6","Инв.+гист. х6"
"1636RR1U","H14_42_1B","1","D10","EEPLD"
"1874VE7T","4235_88-1","1","D8",""
"1NT251","1NT251A","4","D29, D30, D36, D38","4x n-p-n"
"249KP1","401_14_4_03","4","D17, D21, D26, D34","2ch transistor optocouple"
"249KP22R","2101_8_7M","1","D3","2x SS-relay"
"249KP23Т","KT107","8","D19, D20, D22, D23, D24, D25, D27, D28","2ch SS-relay"
"2D212A","2D212A_PL","4","VD4, VD6, VD8, VD10","диод"
"2D510A","2D510A_P","1","VD1","диод"
"2D707A_1","","4","VD12, VD14, VD16, VD18","2D707A_1"
"2DS627_BLOCK","2DS627A","2","D35, D37","диодная матрица"
"2S108D","2S222G","2","VD2, VD3",""
"2S212ZH","2S222G","4","VD5, VD7, VD9, VD11",""
"2T665A91","2T665A91","9","VT1, VT2, VT3, VT4, VT5, VT6, VT7, VT8, VT9","n-p-n"
"544UD16U3","H04_16_1B","5","D7, D9, D11, D12, D16","operational amplifier"
"5576XC7T","5576XC7Tfancort","1","D1","ПЛИС"
"bSNP333-26","","1","N2","board analog SNP333-26"
"bSNP333-44","KOL44","1","N3","board analog SNP333-44"
"BTI9-215","BTI9","2","T1, T2","блок трансформаторов"
"GK108-P-3","GK108P","1","G1","oscillator 3V3"
"JTAG_1874VE7","snp346_2_14","1","XP8","Соединитель СНП346-14ВП21-1-В"
"K","K","29","K1, K2, K3, K4, N1.1, N1.2, N1.3, N1.4, N1.5, N1.6, N1.7, N1.8, N1.9, N1.10, N1.11, N1.12, N1.13, N1.14, N1.15, N1.16, N1.17, N1.18, N1.19, N1.20, N1.21, N1.22, N1.23, N1.24, N1.25",""
"K10_17V_M47","K1017V_1","2","C96, C99","TYPE1"
"K10_17V_N50_1","K1017V_1","2","C95, C98","TYPE1"
"K10_17V_N50_4","K1017V_4","7","C18, C19, C21, C24, C64, C66, C71","TYPE4"
"K10_17V_N50_5","","4","C102, C106, C110, C114","TYPE5"
"K10_17V_N90_4","K1017V_4","59","C17, C20, C22, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C67, C70, C72, C74, C75, C76, C78, C80, C82, C89, C90, C91, C93, C97, C120, C121, C122","TYPE4"
"K10_17V_N90_5","K1017V_5","15","C4, C8, C11, C13, C15, C68, C69, C84, C87, C92, C94, C100, C104, C108, C112","TYPE5"
"K10_17V_N90_6","K1017V_6","1","C14","TYPE6"
"K10_47V_100V_0.01uF","K1047v_1","2","C5, C6","ChipCapasitor"
"K10_47V_50V_0.47uF","K1047V_3","3","C2, C65, C86","ChipCapasitor"
"K53_56A_TYPE2","K53_56A_TYPE2","12","C3, C7, C9, C10, C12, C16, C23, C73, C77, C79, C81, C83","TYPE2"
"K53_56A_TYPE3","K53_56A_TYPE3","4","C85, C88, C123, C124","TYPE3"
"K53_56A_TYPE4","K53_56A_TYPE4","1","C1","TYPE4"
"P1_8_0W125","","32","R26, R27, R28, R29, R30, R34, R35, R36, R37, R38, R39, R42, R43, R44, R45, R46, R48, R49, R53, R54, R55, R56, R57, R58, R61, R62, R65, R66, R67, R70, R71, R72","chip"
"PartNumber","201_14_10","1","D18","4ch volt compar Up=5-30V, Iin<=100nA, output-open collector"
"PartNumber","R2_105_2W0","2","R80, R96","chip"
"R1_112_0W125","R1_112_W062","6","R78, R81, R94, R97, R208, R209","chip"
"R1_112_0W125","R1_112_W125","116","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R31, R32, R33, R40, R41, R47, R50, R51, R52, R59, R60, R63, R68, R69, R73, R74, R75, R76, R77, R79, R82, R83, R84, R85, R88, R89, R90, R91, R92, R93, R95, R98, R99, R100, R103, R104, R105, R106, R107, R108, R111, R113, R115, R116, R119, R121, R123, R124, R127, R129, R131, R132, R135, R137, R139, R140, R143, R145, R147, R148, R151, R153, R155, R156, R159, R161, R163, R164, R167, R169, R187, R188, R189, R190, R191, R192, R193, R194, R195, R196, R197, R198, R199, R200, R201, R202, R203, R204, R205, R206, R207","chip"
"R1_112_0W25","R1_112_W25","4","R86, R87, R101, R102","chip"
"SLH2800D","SLH2800S","1","D15","SLH2800D"
"SMSA28xxD","SMSA2805S","1","D13","DC/DC 5W dual"
"SMSA28xxS","SMSA2805S","1","D2","DC/DC 5W single"
"SNP346-10","snp346_2_10","1","XP9",""
"SNP346-10VP21","SNP346_2_10","1","XP6","PLD-10 for JTAG"
"SNP346-2VP21-1","SNP346_1_2","1","XP7","PLS-2"
"SNP346-3VP21-1","SNP346_1_3","2","XP3, XP4","PLS-3"
"SNP346-6VP21-2","SNP346_2_6","1","XP5","PLD-6"
"SNP346-8VP21-1","SNP346_2_8p","2","XP1, XP2","PLS-8"
"SNP388-120PP21","SNP388_120","1","XT1","PC-104 120 pin"
"SP5_3VA","","1","R64","potentiometer"
