"Bill of Material for "
"On 21.03.2017 at 14:39:50"

"Comment","Pattern","Quantity","Components"

"2T665A91","2T665A91","1","VT9","n-p-n"
"K","K","1","K1",""
"PartNumber","2S222G","1","VD2",""
"PartNumber","C2_29V_0W125","1","R61*",""
"PartNumber","H04_16_1B","4","D7, D9, D11, D12","operational amplifier"
"PartNumber","K1017V_4","15","C18, C19, C20, C21, C24, C63, C64, C66, C67, C71, C72, C74, C89, C90, C122","K10_17V_N50_4"
"PartNumber","K1017V_5","2","C84, C87","K10_17V_N90_5"
"PartNumber","K1047V_3","1","C86","ChipCapasitor"
"PartNumber","K53_56A_TYPE2","1","C73","TYPE2"
"PartNumber","K53_56A_TYPE3","2","C85, C88","TYPE3"
"PartNumber","KOL26","1","N2","board analog SNP333-26"
"PartNumber","R1_112_W125","5","R59, R60, R73, R74, R75","chip"
"PartNumber","R1_8MP_0W125","31","R26, R27, R28, R29, R30, R34, R35, R36, R37, R38, R39, R42, R43, R44, R45, R46, R48, R49, R53, R54, R55, R56, R57, R58, R62, R65, R66, R67, R70, R71, R72","chip"
"PartNumber","SMSA2805S","1","D13","DC/DC 5W dual"
